;index;conta_bancaria;descricao;valor;conta_debito;conta_credito
0;1193;004905;PAGTO DEBITO EM C/C - DS#IMPOSTO] NEUROVIDA BM LTD - DEB C/C- 154032-1;260,40;;
1;675;004905;REND.DIARIO - REND.DIARIO;86,07;;
2;676;004905;TRANSF. C/C 004905 PARA 59082 BORD. 4037 - T-217680;100000,00;;
3;677;004905;TRANSF. C/C 004905 PARA 13001343 BORD. 4039 - T-217682;30000,00;;
4;678;004905;03 TED - 03 TED;10,92;;
5;679;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19165;34,21;;
6;680;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19450;34,62;;
7;681;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19451;49,46;;
8;682;004905;DEPÓSITO DO CAIXA 3-TESOURARIA - 19452;34,62;;
9;683;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC OP PL 19443;406,32;;
10;684;004905;CREDITO CONVENIO A IDENTIFICAR - BRADESC SAU 19444;28438,46;;
11;685;004905;PAGTO DEBITO EM C/C - BIOSURGI REPRESENTACOES E OP - DEB C/C- 150218-1;5800,00;;
12;686;004905;PAGTO DEBITO EM C/C - TUCOMAR ASSISTENCIA MEDICA L - DEB C/C- 154382-1;4294,83;;
13;687;004905;PAGTO DEBITO EM C/C - LIGHT SERVICOS DE ELETRICIDA - DEB C/C- 154416-1;55417,93;;
14;674;004905;PIX ANDRE  DA SILVA ELIAS (08/04) - PIX ANDRE 19436;205,00;;
15;688;004905;PAGTO DEBITO EM C/C - LIGHT SERVICOS DE ELETRICIDA - DEB C/C- 154417-1;9880,50;;
16;690;004905;PAGTO DEBITO EM C/C - ELETROAR MANUTENÇÃO INDUSTRI - DEB C/C- 154644-1;934,90;;
17;691;004905;PAGTO DEBITO EM C/C - INTENSI CARDIO SERVICOS MEDI - DEB C/C- 154660-1;7646,46;;
18;692;004905;PAGTO DEBITO EM C/C - FILIPE SOUZA DE LIMA E CIRNE - DEB C/C- 154665-1;15600,00;;
